id,idauthor,idserie
1,1,1
2,2,1
3,3,2
4,4,3
5,5,4
6,6,5
7,7,6
8,8,6
9,9,6
10,10,7
11,11,8
12,12,8
13,13,9
14,14,10
15,15,10
16,16,11
17,17,11
18,18,12
19,19,13
20,20,14
21,21,14
22,22,14
23,23,14
24,24,15
25,25,15
26,26,16
27,27,17
28,28,18
29,29,18
30,30,19
31,30,20
32,30,21
33,31,22
34,32,22
35,33,23
36,34,23
37,35,24
38,36,25
39,37,25
40,38,26
41,39,27
42,40,28
43,41,28
44,42,28
45,42,29
46,43,30
47,44,31
48,45,31
49,46,32
50,47,33
51,46,34
52,47,35
53,48,36
54,49,37
55,50,38
56,51,38
57,52,39
58,53,39
59,54,40
